Id,Month,Day,Date,WeekDay,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,TotalActiveMinutes,Calories
1503960366,4,12,2016-04-12,Tuesday,13162,8.5,8.5,0,1.88,0.55,6.06,0,25,13,328,728,366,1985
1503960366,4,13,2016-04-13,Wednesday,10735,6.97,6.97,0,1.57,0.69,4.71,0,21,19,217,776,257,1797
1503960366,4,14,2016-04-14,Thursday,10460,6.74,6.74,0,2.44,0.4,3.91,0,30,11,181,1218,222,1776
1503960366,4,15,2016-04-15,Friday,9762,6.28,6.28,0,2.14,1.26,2.83,0,29,34,209,726,272,1745
1503960366,4,16,2016-04-16,Saturday,12669,8.16,8.16,0,2.71,0.41,5.04,0,36,10,221,773,267,1863
1503960366,4,17,2016-04-17,Sunday,9705,6.48,6.48,0,3.19,0.78,2.51,0,38,20,164,539,222,1728
1503960366,4,18,2016-04-18,Monday,13019,8.59,8.59,0,3.25,0.64,4.71,0,42,16,233,1149,291,1921
1503960366,4,19,2016-04-19,Tuesday,15506,9.88,9.88,0,3.53,1.32,5.03,0,50,31,264,775,345,2035
1503960366,4,20,2016-04-20,Wednesday,10544,6.68,6.68,0,1.96,0.48,4.24,0,28,12,205,818,245,1786
1503960366,4,21,2016-04-21,Thursday,9819,6.34,6.34,0,1.34,0.35,4.65,0,19,8,211,838,238,1775
1503960366,4,22,2016-04-22,Friday,12764,8.13,8.13,0,4.76,1.12,2.24,0,66,27,130,1217,223,1827
1503960366,4,23,2016-04-23,Saturday,14371,9.04,9.04,0,2.81,0.87,5.36,0,41,21,262,732,324,1949
1503960366,4,24,2016-04-24,Sunday,10039,6.41,6.41,0,2.92,0.21,3.28,0,39,5,238,709,282,1788
1503960366,4,25,2016-04-25,Monday,15355,9.8,9.8,0,5.29,0.57,3.94,0,73,14,216,814,303,2013
1503960366,4,26,2016-04-26,Tuesday,13755,8.79,8.79,0,2.33,0.92,5.54,0,31,23,279,833,333,1970
1503960366,4,27,2016-04-27,Wednesday,18134,12.21,12.21,0,6.4,0.41,5.41,0,78,11,243,1108,332,2159
1503960366,4,28,2016-04-28,Thursday,13154,8.53,8.53,0,3.54,1.16,3.79,0,48,28,189,782,265,1898
1503960366,4,29,2016-04-29,Friday,11181,7.15,7.15,0,1.06,0.5,5.58,0,16,12,243,815,271,1837
1503960366,4,30,2016-04-30,Saturday,14673,9.25,9.25,0,3.56,1.42,4.27,0,52,34,217,712,303,1947
1503960366,5,1,2016-05-01,Sunday,10602,6.81,6.81,0,2.29,1.6,2.92,0,33,35,246,730,314,1820
1503960366,5,2,2016-05-02,Monday,14727,9.71,9.71,0,3.21,0.57,5.92,0,41,15,277,798,333,2004
1503960366,5,3,2016-05-03,Tuesday,15103,9.66,9.66,0,3.73,1.05,4.88,0,50,24,254,816,328,1990
1503960366,5,4,2016-05-04,Wednesday,11100,7.15,7.15,0,2.46,0.87,3.82,0,36,22,203,1179,261,1819
1503960366,5,5,2016-05-05,Thursday,14070,8.9,8.9,0,2.92,1.08,4.88,0,45,24,250,857,319,1959
1503960366,5,6,2016-05-06,Friday,12159,8.03,8.03,0,1.97,0.25,5.81,0,24,6,289,754,319,1896
1503960366,5,7,2016-05-07,Saturday,11992,7.71,7.71,0,2.46,2.12,3.13,0,37,46,175,833,258,1821
1503960366,5,8,2016-05-08,Sunday,10060,6.58,6.58,0,3.53,0.32,2.73,0,44,8,203,574,255,1740
1503960366,5,9,2016-05-09,Monday,12022,7.72,7.72,0,3.45,0.53,3.74,0,46,11,206,835,263,1819
1503960366,5,10,2016-05-10,Tuesday,12207,7.77,7.77,0,3.35,1.16,3.26,0,46,31,214,746,291,1859
1503960366,5,11,2016-05-11,Wednesday,12770,8.13,8.13,0,2.56,1.01,4.55,0,36,23,251,669,310,1783
1503960366,5,12,2016-05-12,Thursday,0,0,0,0,0,0,0,0,0,0,0,1440,0,0
1624580081,4,12,2016-04-12,Tuesday,8163,5.31,5.31,0,0,0,5.31,0,0,0,146,1294,146,1432
1624580081,4,13,2016-04-13,Wednesday,7007,4.55,4.55,0,0,0,4.55,0,0,0,148,1292,148,1411
1624580081,4,14,2016-04-14,Thursday,9107,5.92,5.92,0,0,0,5.91,0.01,0,0,236,1204,236,1572
1624580081,4,15,2016-04-15,Friday,1510,0.98,0.98,0,0,0,0.97,0,0,0,96,1344,96,1344
1624580081,4,16,2016-04-16,Saturday,5370,3.49,3.49,0,0,0,3.49,0,0,0,176,1264,176,1463
1624580081,4,17,2016-04-17,Sunday,6175,4.06,4.06,0,1.03,1.52,1.49,0.01,15,22,127,1276,164,1554
1624580081,4,18,2016-04-18,Monday,10536,7.41,7.41,0,2.15,0.62,4.62,0.01,17,7,202,1214,226,1604
1624580081,4,19,2016-04-19,Tuesday,2916,1.9,1.9,0,0,0,1.9,0,0,0,141,1299,141,1435
1624580081,4,20,2016-04-20,Wednesday,4974,3.23,3.23,0,0,0,3.23,0,0,0,151,1289,151,1446
1624580081,4,21,2016-04-21,Thursday,6349,4.13,4.13,0,0,0,4.11,0.02,0,0,186,1254,186,1467
1624580081,4,22,2016-04-22,Friday,4026,2.62,2.62,0,0,0,2.6,0,0,0,199,1241,199,1470
1624580081,4,23,2016-04-23,Saturday,8538,5.55,5.55,0,0,0,5.54,0.01,0,0,227,1213,227,1562
1624580081,4,24,2016-04-24,Sunday,6076,3.95,3.95,0,1.15,0.91,1.89,0,16,18,185,1221,219,1617
1624580081,4,25,2016-04-25,Monday,6497,4.22,4.22,0,0,0,4.2,0.02,0,0,202,1238,202,1492
1624580081,4,26,2016-04-26,Tuesday,2826,1.84,1.84,0,0,0,1.83,0.01,0,0,140,1300,140,1402
1624580081,4,27,2016-04-27,Wednesday,8367,5.44,5.44,0,1.11,1.87,2.46,0,17,36,154,1233,207,1670
1624580081,4,28,2016-04-28,Thursday,2759,1.79,1.79,0,0,0.2,1.6,0,0,5,115,1320,120,1401
1624580081,4,29,2016-04-29,Friday,2390,1.55,1.55,0,0,0,1.55,0,0,0,150,1290,150,1404
1624580081,4,30,2016-04-30,Saturday,6474,4.3,4.3,0,0.9,1.28,2.12,0.01,11,23,224,1182,258,1655
