Id,Month,Day,Date,WeekDay,Time,WeightKg,WeightPounds,Fat,BMI
1503960366,5,2,2016-05-02,Monday,23:59:59,52.6,115.96,22,22.65
1503960366,5,3,2016-05-03,Tuesday,23:59:59,52.6,115.96,,22.65
1927972279,4,13,2016-04-13,Wednesday,01:08:52,133.5,294.32,,47.54
2873212765,4,21,2016-04-21,Thursday,23:59:59,56.7,125,,21.45
2873212765,5,12,2016-05-12,Thursday,23:59:59,57.3,126.32,,21.69
4319703577,4,17,2016-04-17,Sunday,23:59:59,72.4,159.61,25,27.45
4319703577,5,4,2016-05-04,Wednesday,23:59:59,72.3,159.39,,27.38
4558609924,4,18,2016-04-18,Monday,23:59:59,69.7,153.66,,27.25
4558609924,4,25,2016-04-25,Monday,23:59:59,70.3,154.98,,27.46
4558609924,5,1,2016-05-01,Sunday,23:59:59,69.9,154.1,,27.32
4558609924,5,2,2016-05-02,Monday,23:59:59,69.2,152.56,,27.04
4558609924,5,9,2016-05-09,Monday,23:59:59,69.1,152.34,,27
5577150313,4,17,2016-04-17,Sunday,09:17:55,90.7,199.96,,28
6962181067,4,12,2016-04-12,Tuesday,23:59:59,62.5,137.79,,24.39
6962181067,4,13,2016-04-13,Wednesday,23:59:59,62.1,136.91,,24.24
6962181067,4,14,2016-04-14,Thursday,23:59:59,61.7,136.03,,24.1
6962181067,4,15,2016-04-15,Friday,23:59:59,61.5,135.58,,24
6962181067,4,16,2016-04-16,Saturday,23:59:59,62,136.69,,24.21
6962181067,4,17,2016-04-17,Sunday,23:59:59,61.4,135.36,,23.96
6962181067,4,18,2016-04-18,Monday,23:59:59,61.2,134.92,,23.89
6962181067,4,19,2016-04-19,Tuesday,23:59:59,61.4,135.36,,23.96
6962181067,4,20,2016-04-20,Wednesday,23:59:59,61.7,136.03,,24.1
6962181067,4,21,2016-04-21,Thursday,23:59:59,61.4,135.36,,23.96
6962181067,4,22,2016-04-22,Friday,23:59:59,61.4,135.36,,23.96
6962181067,4,23,2016-04-23,Saturday,23:59:59,61.5,135.58,,24
6962181067,4,24,2016-04-24,Sunday,23:59:59,61.5,135.58,,24
6962181067,4,25,2016-04-25,Monday,23:59:59,61.7,136.03,,24.1
6962181067,4,27,2016-04-27,Wednesday,23:59:59,61.2,134.92,,23.89
6962181067,4,28,2016-04-28,Thursday,23:59:59,61.2,134.92,,23.89
6962181067,4,29,2016-04-29,Friday,23:59:59,61.4,135.36,,23.96
6962181067,4,30,2016-04-30,Saturday,23:59:59,61,134.48,,23.82
6962181067,5,1,2016-05-01,Sunday,23:59:59,61.7,136.03,,24.1
6962181067,5,2,2016-05-02,Monday,23:59:59,61.5,135.58,,24
6962181067,5,3,2016-05-03,Tuesday,23:59:59,61,134.48,,23.82
6962181067,5,4,2016-05-04,Wednesday,23:59:59,61.1,134.7,,23.85
6962181067,5,5,2016-05-05,Thursday,23:59:59,61.3,135.14,,23.93
6962181067,5,6,2016-05-06,Friday,23:59:59,61.5,135.58,,24
6962181067,5,7,2016-05-07,Saturday,23:59:59,61.2,134.92,,23.89
6962181067,5,8,2016-05-08,Sunday,23:59:59,61.2,134.92,,23.89
6962181067,5,9,2016-05-09,Monday,23:59:59,62.4,137.57,,24.35
6962181067,5,10,2016-05-10,Tuesday,23:59:59,62.1,136.91,,24.24
6962181067,5,11,2016-05-11,Wednesday,23:59:59,61.9,136.47,,24.17
6962181067,5,12,2016-05-12,Thursday,23:59:59,61.9,136.47,,24.17
8877689391,4,12,2016-04-12,Tuesday,06:47:11,85.8,189.16,,25.68
8877689391,4,13,2016-04-13,Wednesday,06:55:00,84.9,187.17,,25.41
8877689391,4,14,2016-04-14,Thursday,06:48:43,84.5,186.29,,25.31
8877689391,4,16,2016-04-16,Saturday,13:39:25,85.5,188.5,,25.59
8877689391,4,18,2016-04-18,Monday,06:51:14,85.8,189.16,,25.68
8877689391,4,19,2016-04-19,Tuesday,06:39:31,85.3,188.05,,25.53
8877689391,4,20,2016-04-20,Wednesday,06:44:54,84.9,187.17,,25.41
8877689391,4,21,2016-04-21,Thursday,06:50:27,84.5,186.29,,25.29
8877689391,4,23,2016-04-23,Saturday,07:22:28,85.5,188.5,,25.59
8877689391,4,24,2016-04-24,Sunday,07:38:05,85.5,188.5,,25.59
8877689391,4,25,2016-04-25,Monday,06:40:16,85.4,188.27,,25.56
8877689391,4,26,2016-04-26,Tuesday,06:50:27,85.1,187.61,,25.49
8877689391,4,27,2016-04-27,Wednesday,06:51:05,85.4,188.27,,25.56
8877689391,4,28,2016-04-28,Thursday,06:50:03,85.1,187.61,,25.49
8877689391,4,29,2016-04-29,Friday,06:49:55,84.9,187.17,,25.41
8877689391,4,30,2016-04-30,Saturday,07:49:03,85.5,188.5,,25.59
8877689391,5,1,2016-05-01,Sunday,08:47:49,85.3,188.05,,25.53
8877689391,5,3,2016-05-03,Tuesday,06:49:41,84.9,187.17,,25.41
8877689391,5,4,2016-05-04,Wednesday,06:48:22,84.4,186.07,,25.26
8877689391,5,6,2016-05-06,Friday,06:43:35,85,187.39,,25.44
8877689391,5,8,2016-05-08,Sunday,07:35:53,85.4,188.27,,25.56
8877689391,5,9,2016-05-09,Monday,06:39:44,85.5,188.5,,25.61
8877689391,5,11,2016-05-11,Wednesday,06:51:47,85.4,188.27,,25.56
8877689391,5,12,2016-05-12,Thursday,06:42:53,84,185.19,,25.14
